DISTRICT,YEAR,MONTH,SEASON,RAINFALL(in mm),TEMPERATURE(in Celsius),CROPS,SUCCESSFUL CROPS,MARKET RATE(per kg)(in Rupees)
Ariyalur,2007,January,Rabi,101,23.7,Paddy,Paddy,80
Ariyalur,2007,February,Rabi,14,24.4,Maize,Paddy,70
Ariyalur,2007,March,Rabi,11,26.6,Cotton(lint),Maize,25
Ariyalur,2007,April,Kharif,11,28.4,Groundnut,Maize,30
Ariyalur,2007,May,Kharif,32,29.1,Sugarcane,Mango,100
Ariyalur,2007,June,Kharif,15,29.1,Cashewnut,Tomato,50
Ariyalur,2007,July,Kharif,11,29.2,Mango,Tomato,60
Ariyalur,2007,August,Kharif,20,29.1,Banana,Sugarcane,30
Ariyalur,2007,September,Kharif,35,28.6,Tapico ,Sugarcane,40
Ariyalur,2007,October,Kharif,132,26.2,Tomato ,Groundnut,130
Ariyalur,2007,November,Rabi,135,25.2,Onion,Groundnut,150
Ariyalur,2007,December,Rabi,13,24.9,Blackgram ,Groundnut,120
Ariyalur,2008,January,Rabi,15.5,22.1,Paddy,Banana,60
Ariyalur,2008,February,Rabi,3.8,25.3,Maize,Groundnut,130
Ariyalur,2008,March,Rabi,4.5,22.6,Cotton(lint),Sugarcane,40
Ariyalur,2008,April,Kharif,3.2,27.8,Groundnut,Sugarcane,30
Ariyalur,2008,May,Kharif,0,25.1,Sugarcane,Sugarcane,30
Ariyalur,2008,June,Kharif,121.7,25.5,Cashewnut,Onion,60
Ariyalur,2008,July,Kharif,167.9,26.9,Mango,Onion,50
Ariyalur,2008,August,Kharif,25.6,22.9,Banana,Sugarcane,40
Ariyalur,2008,September,Kharif,51.6,24.2,Tapico ,Sugarcane,30
Ariyalur,2008,October,Kharif,7.8,24.3,Tomato ,Sugarcane,40
Ariyalur,2008,November,Rabi,2.4,26.8,Onion,Groundnut,135
Ariyalur,2008,December,Rabi,1.2,22.7,Blackgram ,Groundnut,150
Ariyalur,2009,January,Rabi,1.8,24.3,Paddy,Sugarcane,30
Ariyalur,2009,February,Rabi,4.8,24.9,Maize,Sugarcane,35
Ariyalur,2009,March,Rabi,9.5,24.6,Cotton(lint),Black gram,80
Ariyalur,2009,April,Kharif,3,23.2,Groundnut,Black gram,90
Ariyalur,2009,May,Kharif,1,22.8,Sugarcane,Black gram,100
Ariyalur,2009,June,Kharif,67.9,25.8,Cashewnut,Cashewnut,350
Ariyalur,2009,July,Kharif,134.6,25.5,Mango,Green gram,80
Ariyalur,2009,August,Kharif,139,25.6,Banana,Green gram,90
Ariyalur,2009,September,Kharif,45.7,27.6,Tapico ,Green gram,100
Ariyalur,2009,October,Kharif,13.2,26.5,Tomato ,Black gram,100
Ariyalur,2009,November,Rabi,4.5,23.4,Onion,Sugarcane,40
Ariyalur,2009,December,Rabi,24.5,21.9,Blackgram ,Sugarcane,35
Ariyalur,2010,January,Rabi,45.2,26.26,Paddy,Maize,30
Ariyalur,2010,February,Rabi,12.3,28.08,Maize,Maize,20
Ariyalur,2010,March,Rabi,0,25.4,Cotton(lint),Green gram,85
Ariyalur,2010,April,Kharif,3.6,23.4,Groundnut,Groundnut,100
Ariyalur,2010,May,Kharif,0,23.6,Sugarcane,Green gram,95
Ariyalur,2010,June,Kharif,111.9,21.8,Cashewnut,Black gram,85
Ariyalur,2010,July,Kharif,154.7,21.3,Mango,Black gram,95
Ariyalur,2010,August,Kharif,32,23.6,Banana,Cashewnut,350
Ariyalur,2010,September,Kharif,146.5,23.9,Green gram,Tomato,55
Ariyalur,2010,October,Kharif,122.9,24.5,Tomato ,Green gram,90
Ariyalur,2010,November,Rabi,48.7,27.7,Onion,Maize,30
Ariyalur,2010,December,Rabi,3.6,26.28,Blackgram ,Maize,25
Ariyalur,2011,January,Rabi,2.7,20.99,Paddy,Paddy,70
Ariyalur,2011,February,Rabi,8.8,21.83,Maize,Paddy,80
Ariyalur,2011,March,Rabi,3.6,24.31,Cotton(lint),Banana,50
Ariyalur,2011,April,Kharif,0,27.27,Groundnut,Banana,40
Ariyalur,2011,May,Kharif,0,29.02,Sugarcane,Black gram,85
Ariyalur,2011,June,Kharif,345,28.22,Brinjal,Black gram,90
Ariyalur,2011,July,Kharif,45.9,27.52,Mango,Groundnut,130
Ariyalur,2011,August,Kharif,8.5,26.74,Banana,Groundnut,140
Ariyalur,2011,September,Kharif,46.8,26.15,Tapico ,Onion,70
Ariyalur,2011,October,Kharif,9.2,25.24,Tomato ,Brinjal,40
Ariyalur,2011,November,Rabi,2.3,23.27,Onion,Black gram,100
Ariyalur,2011,December,Rabi,3.5,21.79,Blackgram ,Black gram,80
Ariyalur,2012,January,Rabi,10.5,23.1,Paddy,Paddy,80
Ariyalur,2012,February,Rabi,0,20.1,Maize,Paddy,50
Ariyalur,2012,March,Rabi,8.5,20.3,Cotton(lint),Paddy,60
Ariyalur,2012,April,Kharif,0.8,23.1,Groundnut,Sugarcane,35
Ariyalur,2012,May,Kharif,34,22.1,Sugarcane,Sugarcane,20
Ariyalur,2012,June,Kharif,5.5,25.3,Cashewnut,Paddy,85
Ariyalur,2012,July,Kharif,30.8,24.5,Mango,Paddy,80
Ariyalur,2012,August,Kharif,140,23.6,Banana,Paddy,90
Ariyalur,2012,September,Kharif,126,25.7,Tapico ,Sugarcane,50
Ariyalur,2012,October,Kharif,237,21.2,Tomato ,Sugarcane,55
Ariyalur,2012,November,Rabi,66,25.4,Onion,Sugarcane,40
Ariyalur,2012,December,Rabi,11,28.6,Blackgram ,Sugarcane,35
Ariyalur,2013,January,Rabi,0,29.7,Paddy,Maize,30
